City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Esperance,AU,2021-07-12 18:22:08,-33.8667,121.9,60.26,76,4,24.0
68,Khatanga,RU,2021-07-12 18:22:08,71.9667,102.5,45.3,73,100,3.44
69,Izumo,JP,2021-07-12 18:22:09,35.3667,132.7667,73.35,95,10,5.95
70,Port Alfred,ZA,2021-07-12 18:22:09,-33.5906,26.891,64.31,59,67,29.01
71,Kodiak,US,2021-07-12 18:17:40,57.79,-152.4072,54.91,76,90,17.27
72,Tombouctou,ML,2021-07-12 18:22:10,20.0,-3.0,108.23,10,13,9.89
73,Victoria,HK,2021-07-12 18:20:08,22.2855,114.1577,86.38,82,81,3.0
74,Havoysund,NO,2021-07-12 18:22:11,70.9963,24.6622,55.63,96,97,18.45
75,Belmonte,BR,2021-07-12 18:22:11,-15.8631,-38.8828,77.5,61,0,8.41
76,Santarem,BR,2021-07-12 18:22:12,-2.4431,-54.7083,84.33,84,75,11.5
77,Mar Del Plata,AR,2021-07-12 18:21:37,-38.0023,-57.5575,63.09,61,100,4.61
78,Bethel,US,2021-07-12 18:18:07,41.3712,-73.414,82.09,90,90,1.99
79,Jalu,LY,2021-07-12 18:22:13,29.0331,21.5482,96.31,20,0,7.43
80,Bonthe,SL,2021-07-12 18:22:13,7.5264,-12.505,79.54,78,100,9.17
81,Upernavik,GL,2021-07-12 18:22:14,72.7868,-56.1549,42.13,67,4,9.82
82,Caucaia,BR,2021-07-12 18:22:14,-3.7361,-38.6531,87.08,70,20,17.27
83,Yulara,AU,2021-07-12 18:22:14,-25.2406,130.9889,49.84,62,7,3.44
84,Korsakov,RU,2021-07-12 18:22:15,46.6328,142.7813,62.44,98,76,3.42
85,Cherskiy,RU,2021-07-12 18:22:15,68.75,161.3,41.22,82,88,8.34
86,Dorado,PR,2021-07-12 18:22:15,18.4588,-66.2677,90.16,73,75,13.8
87,Bonavista,CA,2021-07-12 18:22:16,48.6499,-53.1147,64.11,71,17,4.38
88,Katsuura,JP,2021-07-12 18:22:16,35.1333,140.3,77.11,90,100,10.4
89,Hermanus,ZA,2021-07-12 18:22:16,-34.4187,19.2345,47.89,68,93,26.62
90,Georgetown,MY,2021-07-12 18:19:20,5.4112,100.3354,81.9,84,20,0.0
91,Saint-Philippe,RE,2021-07-12 18:22:17,-21.3585,55.7679,69.39,81,30,15.01
92,Quatre Cocos,MU,2021-07-12 18:22:17,-20.2078,57.7625,71.71,71,27,20.27
93,Atyrau,KZ,2021-07-12 18:20:01,47.1167,51.8833,80.62,28,0,13.42
94,Meulaboh,ID,2021-07-12 18:22:18,4.1363,96.1285,77.0,84,98,3.29
95,Lata,PT,2021-07-12 18:22:18,40.1629,-8.3327,72.05,53,11,14.05
96,Ribeira Grande,PT,2021-07-12 18:22:19,38.5167,-28.7,72.0,68,20,12.66
97,Husavik,IS,2021-07-12 18:22:19,66.0449,-17.3389,67.91,71,86,1.99
98,Ponta Do Sol,PT,2021-07-12 18:22:19,32.6667,-17.1,76.12,66,99,11.54
99,Eqbaliyeh,IR,2021-07-12 18:22:20,35.3022,51.5358,93.02,16,0,5.55
100,Bahawalnagar,PK,2021-07-12 18:22:20,30.5508,73.3908,94.98,45,42,12.12
101,Veraval,IN,2021-07-12 18:22:21,20.9,70.3667,83.05,86,100,20.22
102,Byron Bay,AU,2021-07-12 18:18:00,-28.65,153.6167,51.87,87,25,4.59
103,Jamestown,US,2021-07-12 18:17:58,42.097,-79.2353,83.52,80,75,3.0
104,Kamenka,RU,2021-07-12 18:22:21,51.3223,42.7678,65.97,61,0,8.25
105,Waingapu,ID,2021-07-12 18:22:22,-9.6567,120.2641,73.0,85,6,8.9
106,Radom,PL,2021-07-12 18:22:22,51.4025,21.1471,69.13,19,88,6.89
107,Carnarvon,AU,2021-07-12 18:22:22,-24.8667,113.6333,66.27,66,40,8.05
108,Norman Wells,CA,2021-07-12 18:22:23,65.282,-126.8329,68.04,60,20,4.61
